111,Hong Kong Baptist University,Hong Kong
112,Tokyo Institute of Technology,Japan
114,Eindhoven University of Technology,Netherlands
115,National Taiwan University,Taiwan
117,"University of California, Riverside",United States of America
118,University of Geneva,Switzerland
119,KU Leuven,Belgium
120,Nanjing University,China
120,Queen Mary University of London,United Kingdom
122,Michigan State University,United States of America
122,Technical University of Denmark,Denmark
124,Ghent University,Belgium
124,Lancaster University,United Kingdom
124,Leiden University,Netherlands
127,University of Alberta,Canada
128,University of Glasgow,United Kingdom
129,Stockholm University,Sweden
130,Osaka University,Japan
130,University of Victoria,Canada
132,Tohoku University,Japan
132,University of Freiburg,Germany
132,University of Iowa,United States of America
135,University of Bergen,Norway
136,University of Lausanne,Switzerland
137,University of Sheffield,United Kingdom
139,VU University Amsterdam,Netherlands
140,Pierre and Marie Curie University,France
140,University of Dundee,United Kingdom
142,University of Barcelona,Spain
143,Utrecht University,Netherlands
144,Wageningen University and Research Center,Netherlands
145,University of Auckland,New Zealand
145,University of Birmingham,United Kingdom
147,Alexandria University,Egypt
147,Uppsala University,Sweden
149,Hong Kong Polytechnic University,Hong Kong
149,University of Aberdeen,United Kingdom
151,Delft University of Technology,Netherlands
152,"Birkbeck, University of London",United Kingdom
152,Newcastle University,United Kingdom
152,University of New South Wales,Australia
155,Pompeu Fabra University,Spain
156,Indiana University,United States of America
156,Iowa State University,United States of America
159,Erasmus University Rotterdam,Netherlands
159,University of Delaware,United States of America
161,Arizona State University,United States of America
161,Boston College,United States of America
163,National Sun Yat-Sen University,Taiwan
164,Georgetown University,United States of America
165,University of Amsterdam,Netherlands
165,University of Liverpool,United Kingdom
167,Aarhus University,Denmark
168,University of Leeds,United Kingdom
168,University of Würzburg,Germany
170,University of Groningen,Netherlands
171,Sun Yat-sen University,China
172,Goethe University Frankfurt,Germany
174,Nanyang Technological University,Singapore
174,University of East Anglia,United Kingdom
174,University of Nottingham,United Kingdom
177,University of Copenhagen,Denmark
178,Humboldt University of Berlin,Germany
178,Monash University,Australia
178,University of Bonn,Germany
181,National Chiao Tung University,Taiwan
182,RWTH Aachen University,Germany
183,Middle East Technical University,Turkey
184,University of Exeter,United Kingdom
185,University of Twente,Netherlands
186,University of Konstanz,Germany
187,Karlsruhe Institute of Technology,Germany
187,University of Innsbruck,Austria
189,University of Tübingen,Germany
190,Drexel University,United States of America
190,University of Cincinnati,United States of America
190,Yonsei University,South Korea
193,Dalhousie University,Canada
193,KTH Royal Institute of Technology,Sweden
195,University of Vienna,Austria
196,Kent State University,United States of America
197,University of Illinois at Chicago,United States of America
197,Zhejiang University,China
199,Simon Fraser University,Canada
