world_rank,university_name,country,teaching,international,research,citations,income,num_students,student_staff_ratio,international_students,female_male_ratio
1,California Institute of Technology,United States of America,92.2,67,98.1,99.7,89.1,2243,6.9,0.27,0.493
2,Harvard University,United States of America,92.9,67.6,98.6,98.9,44,20152,8.9,0.25,1
3,University of Oxford,United Kingdom,88.6,90.7,97.7,95.5,72.9,19919,11.6,0.34,0.852
4,Stanford University,United States of America,91.5,69,96.7,99.1,63.1,15596,7.8,0.22,0.724
5,University of Cambridge,United Kingdom,89.7,87.8,95.6,95.2,51.1,18812,11.8,0.34,0.852
6,Massachusetts Institute of Technology,United States of America,89.1,84.3,88.2,100,95.7,11074,9,0.33,0.587
7,Princeton University,United States of America,86.6,61.2,94.7,99.6,82.7,7929,8.4,0.27,0.818
8,"University of California, Berkeley",United States of America,84.2,58.5,96.7,99.1,44.8,36186,16.4,0.15,1
9,Imperial College London,United Kingdom,84.6,92.7,88.3,89.4,72.7,15060,11.7,0.51,0.587
9,Yale University,United States of America,88.5,59.8,90.8,94,42,11751,4.4,0.2,1
11,University of Chicago,United States of America,83.9,65.2,89.9,97.3,36.8,14221,6.9,0.21,0.724
12,"University of California, Los Angeles",United States of America,82.4,49.2,90.5,95.3,54,38206,10.3,0.15,1.083
13,ETH Zurich – Swiss Federal Institute of Technology Zurich,Switzerland,78.2,96.6,90.2,83.5,73.2,18178,14.7,0.37,0.449
14,Columbia University,United States of America,83.9,68.3,79.4,95.3,67.9,25055,5.9,0.28,1
15,Johns Hopkins University,United States of America,75.6,59.7,84.2,93.6,100,15128,3.6,0.23,1
16,University of Pennsylvania,United States of America,79,43.8,82,94.4,43,20376,6.5,0.2,1.041
17,University of Michigan,United States of America,77,49.8,86.5,88.9,55.7,41786,9,0.16,0.923
18,Duke University,United States of America,73.5,50.5,75.2,96.6,100,15172,4.8,0.17,0.961
19,Cornell University,United States of America,71.6,59,83.8,91.5,33.7,21424,10.2,0.19,0.923
20,University of Toronto,Canada,74.4,71.2,85.1,83,46.1,66198,19.5,0.15,1
21,Northwestern University,United States of America,72.7,36.7,78.9,96.9,77,18334,13.8,0.15,0.923
22,University College London,United Kingdom,70.4,90.6,80.4,85.1,46.2,26607,10.7,0.46,1.273
23,University of Tokyo,Japan,81.4,32.4,85.1,74.7,51.2,26199,5.7,0.1,1
24,Carnegie Mellon University,United States of America,61.6,59.3,74.9,92,53,11885,13.1,0.35,0.639
25,National University of Singapore,Singapore,72,94.9,78.1,66,53.4,31592,15.5,0.34,0.961
26,University of Washington,United States of America,64.5,47.9,68.9,95,44.7,44020,11.8,0.13,1.128
