world_rank,university_name,country,teaching,international,research,citations,income,num_students,student_staff_ratio,international_students,female_male_ratio
1,California Institute of Technology,United States of America,96.3,59.8,99.4,99.7,95.6,2243,6.9,0.27,0.493
2,Stanford University,United States of America,95,56.6,98.8,99.3,62.4,15596,7.8,0.22,0.724
2,University of Oxford,United Kingdom,89.7,88.7,98.1,95.6,79.8,19919,11.6,0.34,0.852
4,Harvard University,United States of America,94.9,63.7,98.6,99.2,39.9,20152,8.9,0.25,1
5,Massachusetts Institute of Technology,United States of America,92.9,81.6,89.2,99.9,92.9,11074,9,0.33,0.587
6,Princeton University,United States of America,89.5,54.5,99.4,99.8,79.5,7929,8.4,0.27,0.818
7,University of Cambridge,United Kingdom,91.2,83.6,95.6,96.2,59.1,18812,11.8,0.34,0.852
8,Imperial College London,United Kingdom,88,91.4,90.9,93,87.5,15060,11.7,0.51,0.587
9,"University of California, Berkeley",United States of America,85.1,49.7,99.3,99.3,65.4,36186,16.4,0.15,1
10,University of Chicago,United States of America,89.6,55.3,92.9,98.7,75.7,14221,6.9,0.21,0.724
11,Yale University,United States of America,93.2,54.7,92.5,94.8,38.2,11751,4.4,0.2,1
12,ETH Zurich – Swiss Federal Institute of Technology Zurich,Switzerland,82.5,95.7,92.7,86.6,83.3,18178,14.7,0.37,0.449
13,"University of California, Los Angeles",United States of America,87.3,42.3,93.8,95.9,57.1,38206,10.3,0.15,1.083
14,Columbia University,United States of America,89.7,66.1,82,96.1,68.1,25055,5.9,0.28,1
15,University of Pennsylvania,United States of America,90,38.1,89.4,96.2,43.7,20376,6.5,0.2,1.041
16,Johns Hopkins University,United States of America,81.8,57.3,85.5,95.3,100,15128,3.6,0.23,1
17,University College London,United Kingdom,83.5,89,88.8,86.8,45.1,26607,10.7,0.46,1.273
18,Cornell University,United States of America,77,53.8,92.1,91.8,39.5,21424,10.2,0.19,0.923
19,Northwestern University,United States of America,77.6,33.8,87.3,98.2,64.4,18334,13.8,0.15,0.923
20,University of Michigan,United States of America,76.1,47.6,91.4,91.6,53.9,41786,9,0.16,0.923
21,University of Toronto,Canada,79.6,65.1,89.4,85.1,42.9,66198,19.5,0.15,1
22,Carnegie Mellon University,United States of America,71.8,51.4,87,95.5,55.9,11885,13.1,0.35,0.639
23,Duke University,United States of America,72.3,45.8,81.5,97,100,15172,4.8,0.17,0.961
24,University of Washington,United States of America,74.7,39.1,81.3,97,41.3,44020,11.8,0.13,1.128
25,Georgia Institute of Technology,United States of America,70.2,66.3,79.5,90.3,74.9,19967,20.1,0.26,0.449
25,University of Texas at Austin,United States of America,75.5,42.1,80.7,91,57.9,49427,17.4,0.09,1.041
27,University of Tokyo,Japan,87.9,27.6,89.9,71.3,59,26199,5.7,0.1,1
28,University of Melbourne,Australia,68.4,77.2,82.5,83.7,67.6,40128,23.7,0.35,1.222
29,National University of Singapore,Singapore,74.4,92.3,87.2,67.2,77.4,31592,15.5,0.34,0.961
30,University of British Columbia,Canada,69.1,82.1,80.4,84,42.4,50152,17.6,0.25,1.174
31,University of Wisconsin-Madison,United States of America,76.1,29.8,80.1,88.2,54.8,39655,10.8,0.11,1.041
32,University of Edinburgh,United Kingdom,68.4,78.9,71.3,90.8,43.8,25774,14.1,0.36,1.381
33,University of Illinois at Urbana-Champaign,United States of America,74.2,36,84.9,80.8,45.2,42727,18.7,0.2,0.887
34,McGill University,Canada,74.4,75.9,80.4,75.2,40.3,31326,13.7,0.23,1.273
35,"University of California, Santa Barbara",United States of America,56.1,58.3,73.5,99.4,100,22020,27.3,0.11,1.083
35,University of Hong Kong,Hong Kong,78.4,81.7,85.9,62.1,62.5,19835,17.6,0.38,1.128
