world_rank,university_name,country,teaching,international,research,citations,income,num_students,student_staff_ratio,international_students,female_male_ratio
132,University of Freiburg,Germany,52.4,46.2,41.4,64.3,79.8,26467,31.2,0.16,1
132,University of Iowa,United States of America,48.6,31.7,59.8,54.8,55.4,27526,11.6,0.11,1
135,University of Bergen,Norway,39.9,66.6,42.1,73.1,41.5,11623,11.1,0.12,1
136,University of Lausanne,Switzerland,43.1,84.1,50.5,59.1,42.5,11964,13.1,0.22,1
137,University of Sheffield,United Kingdom,48.9,62.7,49.2,58.4,40.3,23311,15.5,0.31,1
139,VU University Amsterdam,Netherlands,47.6,30.6,51.6,58.5,81.4,23280,16.3,0.06,1
140,Pierre and Marie Curie University,France,51.9,30.7,37.2,71.5,26.4,27862,8.7,0.18,1
140,University of Dundee,United Kingdom,34.1,54.4,41,79.3,49.3,11628,15.3,0.25,1
142,University of Barcelona,Spain,34.1,22.3,33.7,91.9,30,47491,12.2,0.1,1
143,Utrecht University,Netherlands,43.4,52.6,53,58.8,55.3,30779,15.4,0.07,1
144,Wageningen University and Research Center,Netherlands,58.5,24.3,48.8,53,50.8,9248,17,0.21,1
145,University of Auckland,New Zealand,34.8,94.3,39.2,71.8,61.1,29787,18.9,0.28,1
145,University of Birmingham,United Kingdom,50.3,73.8,50.7,52.1,34.8,25295,16.4,0.23,1
147,Alexandria University,Egypt,29.5,19.3,28,99.8,36,127431,23.3,0.01,1
147,Uppsala University,Sweden,49.6,77.9,62.2,40.7,39.5,25266,18.2,0.12,1
149,Hong Kong Polytechnic University,Hong Kong,39.4,82.9,45.7,62.4,57.2,22064,25.9,0.26,1
149,University of Aberdeen,United Kingdom,37.8,86.1,45.2,64.6,47,12938,15.8,0.33,1
151,Delft University of Technology,Netherlands,55.5,47.4,67.7,29,99.4,15920,19.4,0.25,1
152,"Birkbeck, University of London",United Kingdom,41.2,88.5,35.8,70.6,27.4,9454,17.2,0.38,1
152,Newcastle University,United Kingdom,42.7,80.5,42.8,63.6,31.1,20174,15.2,0.29,1
152,University of New South Wales,Australia,49.5,70.7,48.9,51.2,60,38309,25.9,0.33,1
155,Pompeu Fabra University,Spain,35,44.1,33,84.7,40,10901,18.3,0.13,1
156,Indiana University,United States of America,48.5,37.7,42.5,63.2,51,62468,13.6,0.13,1
156,Iowa State University,United States of America,49.3,23.2,49.6,58.2,49.6,29991,17.4,0.11,1
159,Erasmus University Rotterdam,Netherlands,39.4,58.6,43.6,65.5,51.3,20580,18.9,0.18,1
159,University of Delaware,United States of America,38.4,16.8,51.9,61.3,100,19262,15.9,0.1,1
161,Arizona State University,United States of America,43,24.1,44.1,66.9,48.9,83236,29.9,0.09,1
161,Boston College,United States of America,40.1,31.6,33.6,78,50.4,13216,17.4,0.19,1
163,National Sun Yat-Sen University,Taiwan,46.1,21.3,50.6,58.9,37.5,9336,19.6,0.04,1
164,Georgetown University,United States of America,65.1,24.7,44.7,45,52,15408,8.5,0.14,1
165,University of Amsterdam,Netherlands,42.5,38.2,49.2,60.2,38.8,24570,14.4,0.11,1
165,University of Liverpool,United Kingdom,40.8,59.8,47.8,59.6,40.6,18815,13.6,0.3,1
167,Aarhus University,Denmark,38.1,33.4,55.6,57.3,61.5,23895,13.6,0.14,1
168,University of Leeds,United Kingdom,46.2,50,48,55.6,38.3,27703,14.7,0.21,1
168,University of Würzburg,Germany,48.7,40.3,40.9,60.4,51,26576,38.4,0.08,1
170,University of Groningen,Netherlands,41.7,35.5,56.4,54.1,34.2,24556,25.6,0.12,1
171,Sun Yat-sen University,China,46.2,29.3,34.7,70.2,41.2,51351,16.6,0.08,1
172,Goethe University Frankfurt,Germany,39.2,56.1,37.3,69.5,41.6,31861,9.3,0.15,1
174,Nanyang Technological University,Singapore,43.6,96.3,51.7,45,40,25028,16.2,0.33,1
174,University of East Anglia,United Kingdom,42.1,62.8,40.4,62.8,29.7,14992,14.7,0.28,1
174,University of Nottingham,United Kingdom,46.8,74.8,44.1,52.5,38.4,30144,15,0.27,1
177,University of Copenhagen,Denmark,44.1,45.8,45.7,58.3,26.1,27545,4.1,0.19,1
178,Humboldt University of Berlin,Germany,50.9,46.1,44.5,52,27.8,29987,52.5,0.16,1
178,Monash University,Australia,39.4,87.1,38.8,60.5,40.8,50882,40.5,0.36,1
178,University of Bonn,Germany,46.8,46.8,33.8,65.3,29.4,32474,70.4,0.13,1
181,National Chiao Tung University,Taiwan,53.2,57.9,54.4,32.9,98.7,12646,16.6,0.05,1
182,RWTH Aachen University,Germany,50,63.8,42.5,48.9,56.6,37917,27.6,0.16,1
183,Middle East Technical University,Turkey,39.5,27.2,39.5,66.4,43.9,25779,22.2,0.07,1
184,University of Exeter,United Kingdom,40.4,62.8,42.5,57.9,32.2,17755,18.8,0.28,1
185,University of Twente,Netherlands,49.9,62.4,48.3,42,49.8,6631,12,0.26,1
186,University of Konstanz,Germany,42.7,93.6,40.1,51.3,44.3,10930,59.1,0.12,1
187,Karlsruhe Institute of Technology,Germany,45,47.3,35.4,60.7,40,25294,24.6,0.16,1
187,University of Innsbruck,Austria,37.9,99.5,34.8,60.2,35,18209,16.9,0.39,1
189,University of Tübingen,Germany,45.9,57.8,36.3,57.3,32.3,28327,38.9,0.12,1
190,Drexel University,United States of America,45,60.6,35.9,58.2,27.4,20713,10.8,0.18,1
190,University of Cincinnati,United States of America,43.6,18.9,40.4,61.5,32.5,36108,15.7,0.06,1
190,Yonsei University,South Korea,43,28,48.7,52.2,40.4,24774,11.6,0.14,1
193,Dalhousie University,Canada,41.6,44.9,50.2,48.8,46.2,15064,14.4,0.18,1
193,KTH Royal Institute of Technology,Sweden,49.1,64.2,56.2,29.2,100,12062,14.6,0.21,1
195,University of Vienna,Austria,47.6,63.2,45.7,45.6,27,34651,20.5,0.25,1
196,Kent State University,United States of America,33.5,15.9,33.3,76.8,26.3,23122,19,0.08,1
197,University of Illinois at Chicago,United States of America,57.8,51.8,46.8,34.7,46.1,24313,9.2,0.17,1
197,Zhejiang University,China,54.6,29.6,41.3,44.3,70.3,47508,15.9,0.05,1
199,Simon Fraser University,Canada,32.9,51.9,44.2,60.2,37.9,26640,28.3,0.19,1
