1,California Institute of Technology,United States of America
2,Stanford University,United States of America
2,University of Oxford,United Kingdom
4,Harvard University,United States of America
5,Massachusetts Institute of Technology,United States of America
6,Princeton University,United States of America
7,University of Cambridge,United Kingdom
8,Imperial College London,United Kingdom
9,"University of California, Berkeley",United States of America
10,University of Chicago,United States of America
11,Yale University,United States of America
12,ETH Zurich – Swiss Federal Institute of Technology Zurich,Switzerland
13,"University of California, Los Angeles",United States of America
14,Columbia University,United States of America
15,University of Pennsylvania,United States of America
16,Johns Hopkins University,United States of America
17,University College London,United Kingdom
18,Cornell University,United States of America
19,Northwestern University,United States of America
20,University of Michigan,United States of America
21,University of Toronto,Canada
22,Carnegie Mellon University,United States of America
23,Duke University,United States of America
24,University of Washington,United States of America
25,Georgia Institute of Technology,United States of America
25,University of Texas at Austin,United States of America
27,University of Tokyo,Japan
28,University of Melbourne,Australia
29,National University of Singapore,Singapore
30,University of British Columbia,Canada
31,University of Wisconsin-Madison,United States of America
32,University of Edinburgh,United Kingdom
33,University of Illinois at Urbana-Champaign,United States of America
34,McGill University,Canada
35,"University of California, Santa Barbara",United States of America
35,University of Hong Kong,Hong Kong
37,Australian National University,Australia
38,"University of California, San Diego",United States of America
40,École Polytechnique Fédérale de Lausanne,Switzerland
41,New York University,United States of America
42,Karolinska Institute,Sweden
42,University of North Carolina at Chapel Hill,United States of America
44,"University of California, Davis",United States of America
44,Washington University in St Louis,United States of America
46,Peking University,China
47,University of Minnesota,United States of America
48,LMU Munich,Germany
49,University of Manchester,United Kingdom
50,Pohang University of Science and Technology,South Korea
51,Brown University,United States of America
52,Tsinghua University,China
53,Ohio State University,United States of America
54,Boston University,United States of America
54,Kyoto University,Japan
56,University of Southern California,United States of America
57,King’s College London,United Kingdom
58,KU Leuven,Belgium
59,Seoul National University,South Korea
59,École Normale Supérieure,France
61,Pennsylvania State University,United States of America
62,University of Sydney,Australia
62,École Polytechnique,France
64,Leiden University,Netherlands
65,Hong Kong University of Science and Technology,Hong Kong
65,The University of Queensland,Australia
67,Utrecht University,Netherlands
68,Korea Advanced Institute of Science and Technology (KAIST),South Korea
69,Purdue University,United States of America
70,University of Göttingen,Germany
70,Wageningen University and Research Center,Netherlands
72,Erasmus University Rotterdam,Netherlands
72,University of Massachusetts,United States of America
74,University of Bristol,United Kingdom
75,Rice University,United States of America
76,University of Pittsburgh,United States of America
77,Delft University of Technology,Netherlands
78,Heidelberg University,Germany
79,Emory University,United States of America
80,Durham University,United Kingdom
81,Pierre and Marie Curie University,France
82,Lund University,Sweden
83,University of Amsterdam,Netherlands
84,University of Montreal,Canada
85,University of New South Wales,Australia
86,Nanyang Technological University,Singapore
87,Tufts University,United States of America
88,McMaster University,Canada
89,University of Groningen,Netherlands
89,University of Zurich,Switzerland
91,University of Colorado Boulder,United States of America
92,Paris-Sud University,France
93,Ghent University,Belgium
94,Michigan State University,United States of America
94,University of Notre Dame,United States of America
96,"University of California, Irvine",United States of America
97,"University of Maryland, College Park",United States of America
98,University of Arizona,United States of America
99,Humboldt University of Berlin,Germany
99,Monash University,Australia
99,"Rutgers, the State University of New Jersey",United States of America
102,University of Rochester,United States of America
104,Case Western Reserve University,United States of America
105,Technical University of Munich,Germany
106,Uppsala University,Sweden
106,Vanderbilt University,United States of America
108,University of St Andrews,United Kingdom
109,University of Helsinki,Finland
110,Trinity College Dublin,Republic of Ireland
110,University of Sheffield,United Kingdom
110,University of Sussex,United Kingdom
