96.3,59.8,99.4,99.7,95.6,2243,6.9,0.27,0.493
95,56.6,98.8,99.3,62.4,15596,7.8,0.22,0.724
89.7,88.7,98.1,95.6,79.8,19919,11.6,0.34,0.852
94.9,63.7,98.6,99.2,39.9,20152,8.9,0.25,1
92.9,81.6,89.2,99.9,92.9,11074,9,0.33,0.587
89.5,54.5,99.4,99.8,79.5,7929,8.4,0.27,0.818
91.2,83.6,95.6,96.2,59.1,18812,11.8,0.34,0.852
88,91.4,90.9,93,87.5,15060,11.7,0.51,0.587
85.1,49.7,99.3,99.3,65.4,36186,16.4,0.15,1
89.6,55.3,92.9,98.7,75.7,14221,6.9,0.21,0.724
93.2,54.7,92.5,94.8,38.2,11751,4.4,0.2,1
82.5,95.7,92.7,86.6,83.3,18178,14.7,0.37,0.449
87.3,42.3,93.8,95.9,57.1,38206,10.3,0.15,1.083
89.7,66.1,82,96.1,68.1,25055,5.9,0.28,1
90,38.1,89.4,96.2,43.7,20376,6.5,0.2,1.041
81.8,57.3,85.5,95.3,100,15128,3.6,0.23,1
83.5,89,88.8,86.8,45.1,26607,10.7,0.46,1.273
77,53.8,92.1,91.8,39.5,21424,10.2,0.19,0.923
77.6,33.8,87.3,98.2,64.4,18334,13.8,0.15,0.923
76.1,47.6,91.4,91.6,53.9,41786,9,0.16,0.923
79.6,65.1,89.4,85.1,42.9,66198,19.5,0.15,1
71.8,51.4,87,95.5,55.9,11885,13.1,0.35,0.639
72.3,45.8,81.5,97,100,15172,4.8,0.17,0.961
74.7,39.1,81.3,97,41.3,44020,11.8,0.13,1.128
70.2,66.3,79.5,90.3,74.9,19967,20.1,0.26,0.449
75.5,42.1,80.7,91,57.9,49427,17.4,0.09,1.041
87.9,27.6,89.9,71.3,59,26199,5.7,0.1,1
68.4,77.2,82.5,83.7,67.6,40128,23.7,0.35,1.222
74.4,92.3,87.2,67.2,77.4,31592,15.5,0.34,0.961
69.1,82.1,80.4,84,42.4,50152,17.6,0.25,1.174
76.1,29.8,80.1,88.2,54.8,39655,10.8,0.11,1.041
68.4,78.9,71.3,90.8,43.8,25774,14.1,0.36,1.381
74.2,36,84.9,80.8,45.2,42727,18.7,0.2,0.887
74.4,75.9,80.4,75.2,40.3,31326,13.7,0.23,1.273
56.1,58.3,73.5,99.4,100,22020,27.3,0.11,1.083
78.4,81.7,85.9,62.1,62.5,19835,17.6,0.38,1.128
68.6,90,83.5,73.5,39.6,14604,19.2,0.35,1.083
63.4,34.2,79,96.2,43.9,27233,6.5,0.11,0.923
62.4,98.8,57,95,49.8,9666,10.5,0.54,0.37
73.8,38.7,67.4,89.2,29.5,42056,6.8,0.19,1.222
66.3,64.5,75.7,77.3,71.4,7774,11.5,0.22,2.333
70.4,32.9,69.3,90.1,40,26518,7.3,0.08,1.381
67.9,51.7,71.6,82.7,52.5,35364,13.9,0.13,1.174
66,44.3,62.8,95.2,51.1,12528,5.7,0.17,1
81.5,54.1,67.9,64.3,99.9,40148,8.3,0.14,1
66.1,28.7,74,84.7,36.3,46825,18,0.13,1.083
65.4,54.7,66.5,85.5,42,35691,15.5,0.13,1.632
65.9,77.9,67.7,76.9,43.2,34938,15.3,0.34,1.083
63.9,28.8,63.9,88.2,100,3055,10.1,0.04,0.25
63.7,36.9,60.3,94.1,29.9,8653,10.1,0.19,1
74.5,37.2,76.4,55.2,99.2,39763,13.7,0.1,0.471
66.7,46.3,60.9,80.1,49.5,51462,13.4,0.12,0.961
65.4,39.2,50.9,94.2,30.6,24789,8.6,0.17,1.381
77.1,26.3,74.8,57.8,76.4,22809,5.6,0.07,1
68.4,43.4,57.1,81.9,33.5,36534,12.9,0.2,1.083
53.5,86,59.3,82.8,42.4,21394,11.4,0.37,1.564
59.7,56.6,71,67.2,99.7,42503,41.9,0.18,1.174
76.7,27,81.4,48,81.7,26389,13.9,0.1,1
61.6,67.3,46.9,90.3,47.2,2400,7.9,0.2,0.852
55,34.9,69.2,81.4,59.7,44501,12.4,0.12,0.852
59.5,83,70.1,62.9,69.2,41868,20.2,0.28,1.326
56.5,83,54.7,80.7,75.8,2429,4.8,0.3,0.22
54,54.8,67.1,78.4,46.1,21222,17.1,0.1,1.439
56.9,78.1,64.6,68.9,55.6,11385,23.8,0.36,1
54.4,77.8,66.1,69.6,64,34718,32.7,0.27,1.128
48,47.3,64.7,82.4,82.6,30779,15.4,0.07,1.439
69.9,31.1,68.9,58.4,100,9027,10,0.09,0.25
59.8,54.8,71.9,63.1,50,39256,18.1,0.22,0.724
50,51,52.5,92.5,34.4,25581,25.6,0.12,1.041
54.9,79.2,53.7,73.8,100,9248,17,0.21,1.273
44.5,62.8,64.1,80.2,62,20580,18.9,0.18,0.923
57.1,31.7,62.6,77.8,52.8,56959,13,0.11,0.961
50.1,71.9,51.7,85.4,38.7,17906,14,0.25,1.128
49.5,59,39.3,100,36.5,6333,9,0.26,0.786
54.6,29.4,55.1,85.2,39.3,26485,5.8,0.1,1.041
59.9,67.7,75.1,45.1,99.9,15920,19.4,0.25,0.351
61.4,61.3,49,75.5,40.7,28881,24.5,0.17,1.222
56.7,36.6,44.4,90.9,38.3,12338,4.5,0.18,1.273
42.3,77.7,44.5,93.3,34.3,15489,15.7,0.24,1.174
59.2,64.4,43.5,80.6,28.6,27862,8.7,0.18,0.923
43.6,64.4,61.3,77.1,34.2,28251,11.5,0.15,1
45.6,57,61.3,75.1,49,24570,14.4,0.11,1.128
54,74.6,57.9,60.9,95,38264,20.3,0.25,1.326
52.6,84.8,63.8,56.7,50.5,38309,25.9,0.33,0.887
45.7,90.5,66.9,54.5,99.5,25028,16.2,0.33,0.923
52.6,39.6,36.4,94.8,39.4,10410,10,0.14,1.174
42.3,66.9,47.9,81.7,98,23823,19.3,0.15,1.128
43.8,49.8,61,71.6,85.2,24556,25.6,0.12,1.083
50,84.1,41.6,80,38.3,26583,6.5,0.19,1.326
42.3,34.7,44.4,97.1,38.3,29325,16.1,0.08,0.818
48,63.9,45.9,82.9,28.4,27603,15,0.17,1
46.4,49.1,56.7,71.3,95.9,32166,34.1,0.09,1.326
51.8,36.8,56.8,73.8,32.6,44750,15.7,0.15,1.041
48.3,41.6,39.6,93.5,29.8,11829,13.8,0.1,0.786
44,35.2,47.2,90.3,42.1,26614,16.1,0.16,1.083
44.9,40.4,51.4,83.9,32.1,31331,8.4,0.09,0.923
47,31.3,53.7,76.9,83.9,36429,12.7,0.08,1.083
55.4,57.5,58.7,59.5,44.3,29987,52.5,0.16,1
47.8,66.4,60.6,60.9,70,50882,40.5,0.36,1.273
50.9,27.9,61.3,69.5,35.8,37032,17.3,0.08,1.041
46,45.9,37.8,92.3,39.6,9390,4.5,0.26,0.961
56.5,34.2,42,80.4,26.6,9259,6.4,0.17,0.923
51.2,61.5,42.4,76.5,49.7,35565,31.5,0.2,0.493
48.6,56.3,63.9,58.2,44.1,25266,18.2,0.12,1.326
51.5,27.5,40.9,85,53,12161,3.6,0.1,1.083
43.2,86.3,43.8,76.6,38.9,8338,12.7,0.47,1.273
42.8,48.3,53,77.7,31.1,23505,15.1,0.06,1.941
41.9,84.5,33.5,88.1,32.8,15521,18,0.25,1.326
49.5,68.1,46.2,71,41.5,23311,15.5,0.31,1
34.9,76.7,39.5,91.1,32.1,12001,17.4,0.35,1.174
34.7,75.1,45.5,79.7,87.3,20040,12.1,0.18,1.128
44.1,69.8,51.8,63.8,100,8176,16,0.14,0.235
39.7,85.2,53.2,62.5,99.1,15626,18.9,0.48,1.273
35.7,66.4,54.6,71.6,69.7,23895,13.6,0.14,1.174
31.3,52.2,43.8,93,32,31715,23.7,0.08,1.632
55.9,27.9,43,73.5,48.6,23845,10.2,0.12,1.083
30.5,92.5,27.7,99,31.9,8747,15.9,0.37,1.326
48.1,70.1,50.8,62.8,38.3,30144,15,0.27,1.174
50.9,67.6,53.9,56.6,50.6,36299,21.6,0.23,1.222
32.1,32.5,39.6,99.9,23.3,17404,22.7,0.01,1.128
52,31.2,62.9,56,35.6,50095,18.7,0.09,1.174
53.7,62.6,63.1,45.1,44.5,17916,10.2,0.22,1.128
47.5,31.5,35.9,87,38.6,6178,6.6,0.16,0.887
48.9,80.9,50.5,58.8,35.3,18529,16.6,0.37,0.923
35.7,53.4,54.3,73.3,41.7,17713,13,0.1,1.381
53.1,60.9,56.5,51.5,32.8,33062,39.3,0.2,1.381
58,29.6,56.1,52,65.3,9586,7.3,0.13,0.149
42.2,73.5,40.4,74.3,39.7,27545,4.1,0.19,2.03
33,82.7,44.8,76.2,45.8,11964,13.1,0.22,1
37.9,77.4,38.9,79.2,41.8,20925,13.5,0.29,1.128
36.2,95.3,42.5,73.1,32.4,15668,15,0.39,1.564
48.3,36,44.2,72.5,40,62468,13.6,0.13,1.128
56.4,24.6,65.7,45.5,44,31891,11.9,0.07,0.639
43.3,25.2,41.3,81,63.3,25674,16.9,0.09,0.818
48.8,50.3,55.8,57,33.6,17612,10.7,0.05,1.222
57.7,32,55.6,48.9,80.7,17200,5,0.07,0.333
37.3,69.7,40.2,78.1,44.1,22616,16,0.29,1.326
47.5,86.1,49.7,49.1,100,12062,14.6,0.21,0.429
40.5,47.1,45.1,74.2,58.5,23280,16.3,0.06,1.273
37.1,89.8,23.2,87.8,64.2,12551,17.3,0.24,1.174
41.5,66.6,48.6,65.8,41.3,27703,14.7,0.21,1.381
48.3,54.9,33,72.4,81.1,26467,31.2,0.16,1.083
37.7,76.2,40.9,73.2,31.8,11512,14.9,0.33,1.083
33.1,87,30,85.4,42.7,14260,14,0.4,1.083
