95.6,64,97.6,99.8,97.8,2243,6.9,0.27,0.493
86.5,94.4,98.9,98.8,73.1,19919,11.6,0.34,0.852
92.5,76.3,96.2,99.9,63.3,15596,7.8,0.22,0.724
88.2,91.5,96.7,97,55,18812,11.8,0.34,0.852
89.4,84,88.6,99.7,95.4,11074,9,0.33,0.587
83.6,77.2,99,99.8,45.2,20152,8.9,0.25,1
85.1,78.5,91.9,99.3,52.1,7929,8.4,0.27,0.818
83.3,96,88.5,96.7,53.7,15060,11.7,0.51,0.587
77,97.9,95,91.1,80,18178,14.7,0.37,0.449
85.7,65,88.9,99.2,36.6,14221,6.9,0.21,0.724
77.6,70,90.4,98.2,100,15128,3.6,0.23,1
86.5,64.3,87.8,97.2,43.3,11751,4.4,0.2,1
80.4,61.9,91.1,99.7,47.9,36186,16.4,0.15,1
78.1,94.4,91,94.2,40.5,26607,10.7,0.46,1.273
85.9,73.5,82.2,98.1,29.1,25055,5.9,0.28,1
80.8,56.4,88.6,98.5,47.9,38206,10.3,0.15,1.083
82,49.5,86.9,98.6,47.9,20376,6.5,0.2,1.041
77.9,63.9,86.1,97.2,33.7,21424,10.2,0.19,0.923
75.9,77.8,89.3,90.9,49.1,66198,19.5,0.15,1
76,56.5,78,99,100,15172,4.8,0.17,0.961
76.8,53.7,85.2,94.4,56.3,41786,9,0.16,0.923
67.4,57.1,88.8,99.1,57.5,11885,13.1,0.35,0.639
68.6,89.8,77.2,96.3,36.1,25774,14.1,0.36,1.381
69.8,53.9,78.4,96.5,81.2,18334,13.8,0.15,0.923
71.7,96.2,84.5,79.4,49.8,31592,15.5,0.34,0.961
64.5,93.8,75.8,93.8,40.1,21394,11.4,0.37,1.564
60.6,73.1,81.1,92.2,75.8,7774,11.5,0.22,2.333
70.5,62.8,77.4,85.7,100,35691,15.5,0.13,1.632
74.7,49.3,72.3,95.3,30.4,42056,6.8,0.19,1.222
61.3,98.6,67.5,94.6,65.4,9666,10.5,0.54,0.37
67.1,51.2,70,98.6,43.1,44020,11.8,0.13,1.128
62,87.1,75.5,86.6,64.6,40128,23.7,0.35,1.222
60.2,90.5,73.2,91.5,42.6,50152,17.6,0.25,1.174
59.9,68.6,76.9,87.3,100,42503,41.9,0.18,1.174
64.5,45.8,81.2,86.8,52.8,42727,18.7,0.2,0.887
68.8,62.8,69.6,88.2,68.2,28881,24.5,0.17,1.222
66.1,85.5,72.1,78.9,40.3,31326,13.7,0.23,1.273
56.9,42.9,69.8,98.7,56.7,27233,6.5,0.11,0.923
52.6,61.5,66,99.2,90.4,22020,27.3,0.11,1.083
57.8,71.5,72.7,86,73.7,19967,20.1,0.26,0.449
77.8,49.2,72.4,69.1,100,40148,8.3,0.14,1
81.4,30.3,83,60.9,50.8,26199,5.7,0.1,1
60.1,58.4,72.7,84.3,57.3,35364,13.9,0.13,1.174
